Brand,Flavor,Class,Serv(oz),Serv(g),Cal/Serv,Fat,Na,K,Carbs,Fiber,Sugar,Other,Protein,kcal/g,kcal/oz,Carb/Pro,Fat %,Sugar %,Na/kcal
Trail Butter,Maple Syrup & Sea Salt Almond Cashew Blend,Nut Butter,1.16,33,200,18,115,,8,2,3,3,5,6.06,172,1.6,76%,6%,0.58
Trail Butter,Original Trail Mix Almond Butter Blend,Nut Butter,1.16,33,200,17,50,,8,3,4,1,5,6.06,172,1.6,75%,8%,0.25
Dakota Style,Sunflower Kernels,Nuts/Seeds,1.16,33,200,17,180,,6,4,0,2,8,6.06,172,0.8,73%,0%,0.90
Eden,Pumpkin Seeds (dry roasted),Nuts/Seeds,1.16,33,200,16,100,270,5,5,0,0,9,6.06,172,0.6,72%,0%,0.50
Skep's Mix,"Trail Mix (one serving, 1/3 batch)",Trail Mix,3.46,98,590,49.3,180,70,37,5.7,26,5.3,6,6.02,171,6.2,72%,17%,0.31
Alter Ego,Dark Salted Brown Butter Organic Chocolate,Candy,1.41,40,240,18,65,,14,4,11,-1,3,6.00,170,4.7,70%,19%,0.27
Lindt,90% Cocoa,Candy,1.41,40,240,22,10,,12,5,3,4,4,6.00,170,3.0,76%,5%,0.04
Autumn's Gold,Grain Free Granola - Cinnamon Almond,Bar,1.23,35,210,17,60,190,11,3,6,2,6,6.00,170,1.8,69%,11%,0.29
RiverTrail,Party Mix,Trail Mix,1.06,30,180,14,400,,12,3,1,8,8,6.00,170,1.5,61%,2%,2.22
Safeway (bulk dispenser),"Peanuts, Roasted & Salted",Nuts/Seeds,1.76,50,300,26,160,,8,5,2,1,14,6.00,170,0.6,73%,2%,0.53
Signature (Safeway),Organic Pumpkin Seeds,Nuts/Seeds,1.06,30,180,14,5,,4,3,1,0,9,6.00,170,0.4,71%,2%,0.03
Divine,70% Dark Chocolate,Candy,1.48,42,250,19,0,,19,5,11,3,3,5.95,169,6.3,66%,17%,0.00
Justin's,Dark Chocolate Crispy Peanut Butter Cups,Candy,1.31,37,220,14,120,,19,2,15,2,4,5.95,169,4.8,58%,28%,0.55
Wild Friends,Vanilla Espresso Almond Butter,Nut Butter,1.13,32,190,16,45,,9,2,2,5,6,5.94,168,1.5,71%,4%,0.24
Wild Friends,Organic Maple Sunflower Butter,Nut Butter,1.13,32,190,16,55,,9,2,5,2,8,5.94,168,1.1,68%,9%,0.29
Skippy,Creamy Peanut Butter (squeeze packs),Nut Butter,1.13,32,190,16,150,90,6,2,3,1,7,5.94,168,0.9,73%,6%,0.79
Coconut Secret,Grain-Free Granola - Original Coconut,Bar,1.20,34,200,15,65,,16,5,10,1,2,5.88,167,8.0,65%,19%,0.33
Food to Live,"Sunflower Seeds (raw, shelled)",Nuts/Seeds,0.99,28,164,14,3,,6,2,1,3,6,5.86,166,1.0,72%,2%,0.02
Moon Cheese,Pepper Jack (freeze dried),Cheese,0.42,12,70,5,150,,0,0,0,0,4,5.83,165,0.0,74%,0%,2.14
Jif To Go,Creamy Peanut Butter (individual cups),Nut Butter,1.52,43,250,22,180,,11,3,4,4,9,5.81,165,1.2,71%,6%,0.72
Oberto,Smoked Sausage Sticks,Meat,0.92,26,150,13,380,,0,0,0,0,8,5.77,164,0.0,79%,0%,2.53
88 Acres,Dark Chocolate Sunflower Seed,Nut Butter,1.16,33,190,15,10,180,11,3,5,3,5,5.76,163,2.2,68%,10%,0.05
88 Acres,Vanilla Spiced Sunflower Seed,Nut Butter,1.16,33,190,16,10,210,10,3,5,2,5,5.76,163,2.0,71%,10%,0.05
Trail Butter,Spiced Chai Almond Cashew Butter Blend,Nut Butter,1.16,33,190,16,65,,10,3,4,3,5,5.76,163,2.0,71%,8%,0.34
88 Acres,Maple Sunflower Seed,Nut Butter,1.16,33,190,17,10,240,9,3,3,3,5,5.76,163,1.8,73%,6%,0.05
88 Acres,Roasted Watermelon Seed,Nut Butter,1.16,33,190,16,35,180,6,1,3,2,8,5.76,163,0.8,72%,6%,0.18
88 Acres,Roasted Pumpkin Seed,Nut Butter,1.16,33,190,17,10,220,5,2,3,0,8,5.76,163,0.6,75%,6%,0.05
Justin's,Dark Chocolate Cashew Butter Cups,Candy,1.41,40,230,15,100,,21,1,14,6,3,5.75,163,7.0,58%,24%,0.43
Justin's,Dark Chocolate Almond Butter Cups,Candy,1.41,40,230,15,100,,20,1,14,5,3,5.75,163,6.7,59%,25%,0.43
Justin's,White Chocolate Peanut Butter Cups,Candy,1.41,40,230,16,150,,19,0,16,3,3,5.75,163,6.3,62%,28%,0.65
Justin's,Milk Chocolate Peanut Butter Cups,Candy,1.41,40,230,15,120,,20,1,16,3,4,5.75,163,5.0,58%,28%,0.52
Lindt,78% Cocoa,Candy,1.41,40,230,19,0,,14,3,7,4,4,5.75,163,3.5,70%,12%,0.00
Signature (Safeway),85% Cacao,Candy,1.41,40,230,20,0,,13,6,5,2,4,5.75,163,3.3,73%,8%,0.00
Lindt,85% Cocoa,Candy,1.41,40,230,18,15,,15,6,5,4,5,5.75,163,3.0,67%,8%,0.07
