year,permits,search_pop_prior_avg,search_pop_prior_std,hiking_mean,hiking_std
2013,1879.0,61.11320755,13.4731362,45.416666666666664,9.985975013472492
2014,2655.0,72.57692308,12.64344541,55.416666666666664,10.638338330032676
2015,4453.0,37.09615385,14.52146432,64.75,13.205542913351332
2016,5657.0,44.44230769,14.99334946,66.75,15.118471543717039
2017,6069.0,74.90384615,13.67301567,65.58333333333333,13.931379448329347
2018,7313.0,65.43396226,15.59401936,65.33333333333333,13.891353316710974
2019,7888.0,56.98076923,14.27666461,73.75,17.679597897525323
2021,7200.0,71.44230769,15.7061415,67.5,11.524677080863558
